# Profils DoG le long des V2 extremes
# V2 #1 : centre x=365.98, mediane=1.037, MAD=2.407, seuil=145.667
# Positions predites (33) : 363.3,751.8,1140.3,1528.8,1917.3,2305.8,2694.3,3082.8,3471.3,3859.8,4248.3,4636.8,5025.3,5413.8,5802.3,6190.8,6579.3,6967.8,7356.3,7744.8,8133.3,8521.8,8910.3,9298.8,9687.3,10075.8,10464.3,10852.8,11241.3,11629.8,12018.3,12406.8,12795.3,13183.8,13572.3
# V2 #2 : centre x=781.08, mediane=1.002, MAD=2.584, seuil=151.167
# Positions predites (33) : 363.8,752.3,1140.7,1529.2,1917.7,2306.2,2694.7,3083.1,3471.6,3860.1,4248.6,4637.1,5025.5,5414.0,5802.5,6191.0,6579.5,6967.9,7356.4,7744.9,8133.4,8521.9,8910.3,9298.8,9687.3,10075.8,10464.3,10852.7,11241.2,11629.7,12018.2,12406.7,12795.1,13183.6,13572.1
# V2 #3 : centre x=1195.01, mediane=1.035, MAD=2.750, seuil=142.833
# Positions predites (33) : 365.2,753.7,1142.1,1530.6,1919.0,2307.5,2695.9,3084.4,3472.8,3861.3,4249.7,4638.2,5026.6,5415.1,5803.6,6192.0,6580.5,6968.9,7357.4,7745.8,8134.3,8522.7,8911.2,9299.6,9688.1,10076.5,10465.0,10853.4,11241.9,11630.3,12018.8,12407.3,12795.7,13184.2,13572.6
# V2 #22 : centre x=9049.26, mediane=0.875, MAD=3.618, seuil=112.333
# Positions predites (33) : 347.0,737.8,1128.7,1519.6,1910.4,2301.3,2692.2,3083.0,3473.9,3864.8,4255.6,4646.5,5037.4,5428.2,5819.1,6210.0,6600.8,6991.7,7382.6,7773.4,8164.3,8555.2,8946.0,9336.9,9727.8,10118.6,10509.5,10900.4,11291.2,11682.1,12073.0,12463.8,12854.7,13245.6,13636.4
# V2 #23 : centre x=9455.52, mediane=0.901, MAD=3.908, seuil=144.333
# Positions predites (33) : 661.0,1046.6,1432.2,1817.9,2203.5,2589.1,2974.7,3360.4,3746.0,4131.6,4517.2,4902.8,5288.5,5674.1,6059.7,6445.3,6830.9,7216.6,7602.2,7987.8,8373.4,8759.1,9144.7,9530.3,9915.9,10301.5,10687.2,11072.8,11458.4,11844.0,12229.6,12615.3,13000.9,13386.5,13772.1
# y,v1,v2,v3,v22,v23
900,3.32,3.67,-0.90,3.18,4.12
904,-0.28,-6.95,0.60,-4.74,-4.47
908,5.01,1.62,1.12,0.61,-14.68
912,0.95,5.06,-0.67,1.79,3.63
916,0.22,4.28,2.90,-4.48,-2.50
920,2.18,2.48,2.23,1.02,-9.41
924,-4.54,1.83,0.83,3.09,4.23
928,-0.01,1.85,2.31,2.89,6.64
932,-0.17,-1.55,0.78,4.28,0.79
936,-2.59,-4.74,1.93,3.47,5.93
940,5.85,0.90,-8.91,1.21,5.28
944,1.47,-1.48,-1.82,-1.54,-5.21
948,-0.60,1.81,-4.30,5.52,12.34
952,1.92,-1.44,0.90,-8.17,11.95
956,1.91,0.36,2.89,-20.40,-54.62
960,2.94,-1.27,1.40,-0.14,-20.90
964,-3.75,1.53,4.90,1.40,11.72
968,-1.73,-1.01,2.62,5.53,6.58
972,4.59,-0.53,-7.44,3.23,13.97
976,2.78,3.10,2.60,4.48,-19.74
980,3.23,-0.26,3.36,3.63,6.30
984,5.30,4.90,1.04,1.55,3.73
988,1.64,-14.80,-0.46,5.63,7.08
992,-2.88,1.69,2.04,-11.22,7.35
996,4.77,4.88,-7.55,-5.21,-4.81
1000,-0.83,3.98,0.02,-5.22,9.11
1004,-0.01,-4.57,2.56,-1.71,2.05
1008,1.87,-9.69,3.03,6.59,-3.33
1012,3.03,3.61,3.94,5.73,-9.71
1016,-2.17,0.35,-3.42,4.98,4.56
1020,-0.02,-1.85,0.02,6.80,6.11
1024,3.63,2.44,2.89,-29.39,-5.35
1028,2.16,-0.42,0.83,-8.49,6.32
1032,0.05,4.28,5.01,9.33,-6.80
1036,-3.37,-1.45,-10.76,7.44,-2.52
1040,2.66,4.18,1.93,2.63,-9.56
1044,5.02,-29.99,-9.07,-2.51,4.81
1048,1.38,2.47,3.10,4.42,1.01
1052,-4.23,0.69,-5.45,0.08,4.78
1056,0.81,4.91,3.52,4.44,-6.18
1060,2.56,1.70,2.64,1.43,9.03
1064,-3.01,2.57,-1.89,3.96,1.88
1068,-10.39,2.10,-0.65,4.89,6.79
1072,3.58,-1.96,-2.92,-4.19,1.94
1076,3.91,-3.50,0.40,-5.89,-12.19
1080,2.40,0.12,-2.35,0.54,3.32
1084,2.27,2.27,2.75,-5.91,5.23
1088,-0.63,0.05,1.80,0.87,7.94
1092,-4.23,-2.37,0.41,0.26,0.99
1096,1.80,-2.62,-0.73,3.24,8.95
1100,-1.95,2.30,4.18,0.72,-3.01
1104,1.12,2.85,0.91,2.82,-1.40
1108,0.93,4.21,0.39,2.18,-8.68
1112,3.69,-7.66,3.50,-0.97,-5.95
1116,1.95,5.76,5.52,-0.62,-3.29
1120,3.26,1.59,0.83,3.59,-6.27
1124,13.05,14.84,-4.15,1.38,7.45
1128,21.20,19.87,9.33,-2.09,-4.51
1132,27.38,32.95,20.90,2.00,-3.56
1136,42.17,41.49,30.04,6.70,-3.33
1140,48.19,52.19,39.47,16.66,3.14
1144,-54.65,-44.80,31.87,29.54,2.65
1148,-134.70,-140.72,-86.26,33.77,-5.09
1152,-112.84,-137.97,-150.95,28.08,-7.79
1156,27.52,-9.68,-30.52,-60.32,6.74
1160,43.32,49.55,41.27,-146.82,7.71
1164,33.62,40.90,34.42,-39.68,5.28
1168,25.69,28.40,17.42,33.29,-0.74
1172,8.89,19.20,15.76,35.51,1.19
1176,10.43,11.56,12.21,27.40,-2.12
1180,5.64,6.22,6.15,21.35,-8.49
1184,2.77,0.82,-2.57,4.47,5.13
1188,3.81,1.30,2.03,10.07,-2.36
1192,-5.93,0.96,3.21,4.64,-8.23
1196,10.38,-0.20,1.11,5.07,16.14
1200,6.73,-1.70,7.04,4.12,1.96
1204,-25.68,-4.37,1.12,-0.70,-3.38
1208,3.43,2.87,-16.10,1.41,-13.27
1212,5.26,0.09,2.93,-4.75,0.69
1216,-0.19,-3.23,-1.79,-2.90,12.72
1220,6.34,1.71,5.42,5.44,6.89
1224,-4.02,-0.27,-4.38,4.91,-7.96
1228,-22.23,-0.36,-1.14,1.73,-11.55
1232,5.12,0.26,5.67,-1.82,8.08
1236,3.20,1.48,5.57,-9.50,8.74
1240,6.41,-1.06,-18.26,2.84,-3.84
1244,-4.13,-3.19,3.78,3.82,-26.01
1248,4.08,-1.95,1.22,1.42,-1.24
1252,0.25,1.86,2.04,2.63,3.59
1256,-6.23,1.45,1.26,-2.71,-3.67
1260,0.82,0.54,1.03,1.63,0.83
1264,1.65,1.11,-3.42,-1.06,2.25
1268,-5.42,2.88,3.32,4.04,10.00
1272,3.61,2.84,1.54,-0.12,10.17
1276,-2.03,0.16,3.38,3.21,0.84
1280,-1.90,0.37,2.85,-0.40,-7.50
1284,-1.73,-7.57,2.57,0.38,-12.27
1288,0.42,1.24,0.00,0.51,-12.33
1292,-1.06,-1.09,-1.15,1.52,-7.54
1296,2.07,-1.04,-5.44,0.25,2.31
1300,1.02,2.48,-1.75,-0.28,-1.76
1304,1.38,1.45,-1.70,1.15,-0.69
1308,1.17,2.06,0.41,2.49,3.48
1312,-0.92,0.81,1.96,1.34,-1.88
1316,1.19,-6.04,1.42,-9.03,-0.67
1320,-0.31,2.43,-0.42,3.25,5.00
1324,2.86,-0.98,2.22,-0.15,-1.04
1328,2.16,1.85,-0.49,-1.38,0.58
1332,0.68,-2.17,-1.53,1.69,5.23
1336,-1.55,1.47,1.16,-0.29,-2.13
